                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.92407,                0.58488,                   1.15,                0.95552,                0.95257,                 0.9797,                0.77508,                0.77419,                0.39865,                  0.991,              0.0029311,              0.0029311,              0.0029311
                    138,                0.92203,                0.57928,                 1.1487,                0.95077,                0.94053,                0.97491,                0.78199,                0.74513,                0.41292,                0.98454,              0.0028861,              0.0028861,              0.0028861
                    139,                0.91556,                0.57682,                 1.1449,                0.95035,                0.93949,                0.97262,                0.76984,                0.77387,                 0.4206,                0.99912,              0.0028412,              0.0028412,              0.0028412
                    140,                0.92028,                0.57175,                 1.1445,                0.95205,                0.94222,                0.97483,                0.77871,                0.74595,                0.40626,                0.98804,              0.0027962,              0.0027962,              0.0027962
                    141,                0.91328,                 0.5726,                 1.1438,                0.95523,                0.94884,                0.97782,                0.78554,                0.74044,                0.39499,                0.98076,              0.0027513,              0.0027513,              0.0027513
                    142,                0.91379,                0.57605,                 1.1426,                 0.9517,                0.94468,                0.97678,                0.78105,                0.75288,                0.40714,                0.99087,              0.0027063,              0.0027063,              0.0027063
                    143,                0.90884,                0.57128,                 1.1388,                0.95361,                0.94805,                0.97591,                0.78296,                 0.7482,                0.40665,                0.98724,              0.0026613,              0.0026613,              0.0026613
                    144,                 0.9062,                0.56479,                 1.1337,                 0.9569,                0.95625,                0.97816,                0.78112,                0.76266,                0.39527,                0.99069,              0.0026164,              0.0026164,              0.0026164
                    145,                0.91271,                0.56881,                 1.1399,                0.95456,                0.95013,                0.97764,                0.78134,                0.74888,                0.39872,                0.98484,              0.0025714,              0.0025714,              0.0025714
                    146,                0.90247,                0.56373,                 1.1363,                 0.9569,                0.95163,                0.97756,                0.78753,                0.73852,                  0.392,                 0.9793,              0.0025265,              0.0025265,              0.0025265
                    147,                0.90822,                0.56931,                 1.1404,                0.95943,                0.95358,                0.98005,                0.77932,                0.75866,                  0.392,                0.98676,              0.0024815,              0.0024815,              0.0024815
